phi,Re,"Cd,meas"
0.806,0.0263,1156.313
0.806,0.2209,131.101
0.806,0.7229,41.301
0.806,1.5813,20.46
0.806,2.8048,12.701
0.806,0.0646,427.991
0.806,0.4921,59.085
0.806,1.5005,21.45
0.806,3.1223,11.743
0.806,5.291,7.987
0.806,0.1307,219.607
0.806,0.949,33.318
0.806,2.7974,12.942
0.806,5.6408,7.544
0.806,9.3037,5.417
0.806,0.1434,207.747
0.806,1.0664,30.049
0.806,3.1672,11.496
0.806,6.3896,6.695
0.806,10.6901,4.672
0.806,0.3285,88.103
0.806,2.1794,16.017
0.806,5.9457,7.263
0.806,11.4864,4.613
0.806,18.5426,3.457
0.806,0.6408,48.46
0.806,4.0013,9.943
0.806,10.4214,4.947
0.806,19.7595,3.262
0.806,31.6703,2.48
0.806,0.2792,54.703
0.806,1.8546,9.919
0.806,4.91,4.776
0.806,9.4739,3.041
0.806,15.2703,2.286
0.806,0.6278,23.975
0.806,3.513,6.125
0.806,8.8353,3.268
0.806,16.4494,2.235
0.806,25.7184,1.786
0.806,1.1518,14.87
0.806,6.1452,4.179
0.806,14.832,2.421
0.806,26.6394,1.779
0.806,41.2462,1.45
0.697,0.0277,2744.803
0.697,0.2263,327.872
0.697,0.6519,133.384
0.697,1.4393,64.864
0.697,0.066,1077.322
0.697,0.4538,182.514
0.697,1.3546,69.129
0.697,2.8537,36.922
0.697,0.1177,711.341
0.697,0.8816,101.395
0.697,2.661,37.565
0.697,5.4727,21.052
0.697,0.0609,565.615
0.697,0.4832,71.851
0.697,1.3229,32.344
0.697,2.7034,18.36
0.697,0.1265,291.663
0.697,0.9389,42.362
0.697,2.5135,19.951
0.697,4.912,12.383
0.697,0.2539,151.566
0.697,1.6723,27.942
0.697,4.4648,13.23
0.697,8.5213,8.609
0.697,0.2615,140.305
0.697,1.8043,23.573
0.697,4.6037,12.221
0.697,8.7365,8.044
0.697,0.5531,69.47
0.697,3.372,14.954
0.697,8.1674,8.603
0.697,14.9457,6.09
0.697,1.0299,41.837
0.697,5.6117,11.274
0.697,13.6921,6.392
0.697,24.6547,4.673
0.779,0.0079,3750.009
0.779,0.064,459.751
0.779,0.2047,151.743
0.779,0.4478,75.13
0.779,1.4089,25.617
0.779,0.0163,1993.029
0.779,0.1348,231.94
0.779,0.4084,85.276
0.779,0.9064,41.044
0.779,2.5709,17.217
0.779,0.0375,787.404
0.779,0.2706,120.664
0.779,0.8323,43.061
0.779,1.7814,22.278
0.779,4.7701,10.487
0.779,0.0457,602.394
0.779,0.3152,101.312
0.779,0.9512,37.542
0.779,2.0342,19.455
0.779,5.5981,8.67
0.779,0.0857,381.001
0.779,0.652,52.709
0.779,1.855,21.978
0.779,3.7886,12.489
0.779,9.5427,6.644
0.779,0.1749,191.597
0.779,1.2399,30.496
0.779,3.4471,13.317
0.779,6.7509,8.23
0.779,16.3408,4.741
0.779,0.1811,175.45
0.779,1.2793,28.133
0.779,3.5117,12.602
0.779,6.8697,7.806
0.779,17.2021,4.201
0.779,0.3742,91.064
0.779,2.4639,16.806
0.779,6.3557,8.524
0.779,12.0748,5.598
0.779,28.1801,3.469
0.779,0.7325,49.631
0.779,4.4008,10.999
0.779,10.9646,5.98
0.779,20.1719,4.188
0.779,45.8912,2.731
0.64,0.0534,687.818
0.64,0.4193,89.259
0.64,1.248,34.011
0.64,2.5294,19.626
0.64,0.1087,371.614
0.64,0.8712,46.274
0.64,2.4384,19.937
0.64,4.7792,12.302
0.64,0.2458,152.423
0.64,1.6352,27.544
0.64,4.3723,13.002
0.64,8.2482,8.66
0.64,0.2841,129.834
0.64,1.8864,23.568
0.64,5.0459,11.116
0.64,9.4557,7.504
0.64,0.5373,80.866
0.64,3.575,14.61
0.64,8.8425,8.06
0.64,16.1415,5.733
0.64,1.1118,39.514
0.64,6.023,10.771
0.64,14.407,6.353
0.64,25.6717,4.743
0.64,1.1026,39.451
0.64,6.2901,9.698
0.64,15.1435,5.647
0.64,26.9487,4.227
0.64,2.0383,25.578
0.64,11.1052,6.894
0.64,25.055,4.571
0.64,44.0122,3.511
0.64,3.9169,14.464
0.64,17.636,5.707
0.64,39.4489,3.85
0.64,66.5827,3.203
0.756,0.0217,1504.349
0.756,0.1799,174.638
0.756,0.5597,60.884
0.756,1.2152,30.611
0.756,3.4096,13.123
0.756,0.0476,696.399
0.756,0.3636,95.637
0.756,1.1741,30.958
0.756,2.4173,17.311
0.756,6.2991,8.604
0.756,0.7797,43.606
0.756,2.2195,18.165
0.756,4.4274,10.821
0.756,10.9839,5.934
0.756,0.1186,268.457
0.756,0.8806,38.935
0.756,2.5123,16.144
0.756,5.0211,9.58
0.756,12.5196,5.201
0.756,0.2477,136.998
0.756,1.6694,24.121
0.756,4.7361,10.115
0.756,9.0544,6.56
0.756,21.4985,3.927
0.756,3.1792,13.917
0.756,7.9363,7.537
0.756,14.9683,5.022
0.756,34.2811,3.232
0.756,0.5152,65.04
0.756,3.2858,12.795
0.756,8.3052,6.759
0.756,15.4316,4.641
0.756,35.9019,2.894
0.756,1.0276,36.229
0.756,5.7541,9.244
0.756,14.6436,4.817
0.756,26.3094,3.537
0.756,58.8895,2.383
0.756,10.1553,6.197
0.756,23.4366,3.927
0.756,41.9655,2.903
0.756,90.1672,2.122
0.874,0.0243,1066.855
0.874,0.1864,144.613
0.874,0.5938,48.081
0.874,1.3145,23.253
0.874,2.3438,14.286
0.874,0.0542,477.804
0.874,0.3978,71.01
0.874,1.2183,25.555
0.874,2.6193,13.105
0.874,4.5356,8.537
0.874,0.1164,217.275
0.874,0.8145,35.523
0.874,2.3438,14.479
0.874,4.8277,8.089
0.874,8.1023,5.609
0.874,0.1328,190.262
0.874,0.9316,30.922
0.874,2.6939,12.481
0.874,5.485,7.136
0.874,9.2212,4.931
0.874,0.2825,93.559
0.874,1.8325,17.794
0.874,5.0192,8.005
0.874,10.0189,4.762
0.874,16.414,3.465
0.874,0.5693,48.214
0.874,3.3553,11.106
0.874,8.7028,5.571
0.874,16.9412,3.485
0.874,27.1606,2.648
0.874,0.5826,45.22
0.874,3.4969,10.041
0.874,9.2018,4.894
0.874,17.5332,3.195
0.874,28.3305,2.39
0.874,1.17,24.841
0.874,6.4431,6.553
0.874,16.1556,3.518
0.874,30.1842,2.389
0.874,48.2369,1.827
0.874,2.2197,14.412
0.874,11.1689,4.554
0.874,26.7875,2.672
0.874,49.0486,1.889
0.874,76.8235,1.504
0.471,0.1646,289.686
0.471,1.1492,47.541
0.471,3.0709,22.468
0.471,0.3895,115.782
0.471,2.1168,31.352
0.471,5.4673,15.863
0.471,0.7342,68.312
0.471,3.8667,19.703
0.471,9.3251,11.434
0.471,0.8202,62.324
0.471,4.597,15.874
0.471,10.7298,9.834
0.471,1.7064,32.063
0.471,7.5656,13.049
0.471,17.6162,8.123
0.471,2.8906,23.382
0.471,12.6053,9.836
0.471,27.9936,6.731
0.471,2.9225,22.462
0.471,13.479,8.448
0.471,29.3475,6.014
