viscosity,Particle_density(g cm-3),Fluid_density (g cm-3),Diameter(cm),Shapefactor,Reynoldsnumber,C_d_exp
6.685,2.68,1.25,0.248,0.806,0.0263,1156.313
6.685,2.68,1.25,0.496,0.806,0.2209,131.101
6.685,2.68,1.25,0.744,0.806,0.7229,41.301
6.685,2.68,1.25,0.993,0.806,1.5813,20.46
6.685,2.68,1.25,1.241,0.806,2.8048,12.701
6.685,4.45,1.25,0.248,0.806,0.0646,427.991
6.685,4.45,1.25,0.496,0.806,0.4921,59.085
6.685,4.45,1.25,0.744,0.806,1.5005,21.45
6.685,4.45,1.25,0.993,0.806,3.1223,11.743
6.685,4.45,1.25,1.241,0.806,5.291,7.987
6.685,7.96,1.25,0.248,0.806,0.1307,219.607
6.685,7.96,1.25,0.496,0.806,0.949,33.318
6.685,7.96,1.25,0.744,0.806,2.7974,12.942
6.685,7.96,1.25,0.993,0.806,5.6408,7.544
6.685,7.96,1.25,1.241,0.806,9.3037,5.417
2.89,2.68,1.237,0.248,0.806,0.1434,207.747
2.89,2.68,1.237,0.496,0.806,1.0664,30.049
2.89,2.68,1.237,0.744,0.806,3.1672,11.496
2.89,2.68,1.237,0.993,0.806,6.3896,6.695
2.89,2.68,1.237,1.241,0.806,10.6901,4.672
2.89,4.45,1.237,0.248,0.806,0.3285,88.103
2.89,4.45,1.237,0.496,0.806,2.1794,16.017
2.89,4.45,1.237,0.744,0.806,5.9457,7.263
2.89,4.45,1.237,0.993,0.806,11.4864,4.613
2.89,4.45,1.237,1.241,0.806,18.5426,3.457
2.89,7.96,1.237,0.248,0.806,0.6408,48.46
2.89,7.96,1.237,0.496,0.806,4.0013,9.943
2.89,7.96,1.237,0.744,0.806,10.4214,4.947
2.89,7.96,1.237,0.993,0.806,19.7595,3.262
2.89,7.96,1.237,1.241,0.806,31.6703,2.48
2.89,2.68,1.224,0.248,0.806,0.2792,54.703
2.89,2.68,1.224,0.496,0.806,1.8546,9.919
2.89,2.68,1.224,0.744,0.806,4.91,4.776
2.89,2.68,1.224,0.993,0.806,9.4739,3.041
2.89,2.68,1.224,1.241,0.806,15.2703,2.286
2.89,4.45,1.224,0.248,0.806,0.6278,23.975
2.89,4.45,1.224,0.496,0.806,3.513,6.125
2.89,4.45,1.224,0.744,0.806,8.8353,3.268
2.89,4.45,1.224,0.993,0.806,16.4494,2.235
2.89,4.45,1.224,1.241,0.806,25.7184,1.786
2.89,7.96,1.224,0.248,0.806,1.1518,14.87
2.89,7.96,1.224,0.496,0.806,6.1452,4.179
2.89,7.96,1.224,0.744,0.806,14.832,2.421
2.89,7.96,1.224,0.993,0.806,26.6394,1.779
2.89,7.96,1.224,1.241,0.806,41.2462,1.45
2.89,2.68,1.25,0.196,0.697,0.0277,2744.803
2.89,2.68,1.25,0.391,0.697,0.2263,327.872
2.89,2.68,1.25,0.587,0.697,0.6519,133.384
2.89,2.68,1.25,0.783,0.697,1.4393,64.864
2.89,4.45,1.25,0.196,0.697,0.066,1077.322
2.89,4.45,1.25,0.391,0.697,0.4538,182.514
2.89,4.45,1.25,0.587,0.697,1.3546,69.129
2.89,4.45,1.25,0.783,0.697,2.8537,36.922
