Particle size,static bed height,Gap height,Superficial velocity,Solid circulation Rate
470,0.6,0.109,2.25,10.89
470,0.5,0.139,2.33,10.24
470,0.6,0.094,2.05,9.68
470,0.5,0.102,2.28,23.38
470,0.5,0.095,2.35,4.66
470,0.4,0.14,2.29,13.73
470,0.5,0.091,2.14,18.58
470,0.5,0.143,2.25,3.62
470,0.6,0.097,2.24,11.67
470,0.4,0.093,2.08,26.39
470,0.5,0.108,2.35,19.35
470,0.5,0.09,2.4,18.78
470,0.5,0.1,2.32,16.87
470,0.5,0.121,2.38,23.29
470,0.6,0.113,2.3,24.46
470,0.6,0.082,2.36,23.6
470,0.4,0.106,2.1,23.24
470,0.5,0.125,2.09,5.64
470,0.6,0.139,2.22,13.79
470,0.4,0.119,2.18,24.02
470,0.5,0.126,2.3,5.66
470,0.5,0.103,2.37,23.3
470,0.4,0.136,2.13,3.26
470,0.5,0.108,2.31,12.36
470,0.6,0.092,2.21,13.72
470,0.5,0.098,2.16,2.9
470,0.6,0.11,2.36,3.81
470,0.5,0.131,2.25,16.68
470,0.5,0.089,2.33,11.3
470,0.5,0.105,2.07,15.01
470,0.5,0.11,2.21,26.35
470,0.5,0.124,2.14,26.88
470,0.5,0.119,2.09,4.91
470,0.5,0.128,2.34,17.75
470,0.4,0.085,2.16,13.94
470,0.4,0.081,2.22,15.72
470,0.5,0.109,2.06,17.47
470,0.5,0.138,2.21,2.23
470,0.6,0.106,2.23,3.99
470,0.5,0.091,2.31,25.69
470,0.4,0.084,2.24,19.81
470,0.5,0.099,2.33,14.84
470,0.5,0.089,2.18,19.31
470,0.5,0.081,2.17,20.06
470,0.4,0.088,2.3,6.14
470,0.5,0.085,2.21,26.22
470,0.5,0.13,2.14,3.17
470,0.4,0.093,2.26,15.62
470,0.6,0.082,2.16,14.22
470,0.5,0.097,2.36,18.22
470,0.6,0.114,2.25,24.14
470,0.5,0.132,2.05,10.58
470,0.5,0.125,2.18,25.44
470,0.5,0.107,2.35,27.29
470,0.5,0.112,2.12,17.76
470,0.5,0.084,2.29,10.6
470,0.5,0.1,2.29,10.87
470,0.5,0.088,2.23,15.42
470,0.4,0.088,2.1,20.67
470,0.6,0.084,2.14,2.83
470,0.5,0.131,2.08,2.51
470,0.4,0.143,2.29,7.17
470,0.5,0.105,2.07,20.35
470,0.5,0.131,2.09,3.22
470,0.5,0.128,2.26,8.44
470,0.6,0.113,2.21,3.07
470,0.5,0.143,2.35,3.5
470,0.4,0.091,2.26,8.29
470,0.5,0.132,2.09,3.15
470,0.5,0.133,2.38,2.82
470,0.5,0.115,2.36,7.29
470,0.4,0.123,2.24,2.52
470,0.5,0.121,2.18,14.08
470,0.6,0.075,2.4,16.38
470,0.4,0.106,2.34,11.3
470,0.4,0.12,2.1,17.02
470,0.6,0.129,2.28,23.12
470,0.4,0.09,2.37,2.94
470,0.5,0.093,2.3,24.72
470,0.5,0.099,2.05,9.36
470,0.5,0.081,2.22,20.43
470,0.6,0.14,2.18,10.65
470,0.6,0.135,2.32,22.4
470,0.5,0.083,2.3,8.76
470,0.4,0.08,2.08,3.41
470,0.6,0.117,2.31,8.12
470,0.5,0.104,2.24,17.25
470,0.4,0.113,2.07,9.69
470,0.4,0.12,2.25,11.71
470,0.6,0.137,2.15,14.77
470,0.6,0.113,2.11,4.05
470,0.4,0.109,2.34,4.17
